age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Nat,Years to Olympics,Olympic Ranking
25,10.33666667,10.26333333,10.23,0.000933333,2.666666667,1.0,26492.0,1.0,1140.106017,5,9
24,10.33,10.255,10.25,5e-05,1.0,1.0,24680.0,1.0,1127.759152,3,9
25,10.295,10.255,10.21,0.00405,2.0,1.0,25648.0,1.0,1127.759152,2,9
26,10.36,10.19,10.18,0.0003,2.666666667,1.0,14823.33333,1.0,1127.759152,1,9
22,10.5475,10.2775,10.27,2.5e-05,3.333333333,1.0,28898.0,0.5,1127.759152,2,9
23,10.494,10.25,10.2,0.00175,2.25,1.0,24364.6,0.6,1127.759152,1,9
26,10.69,10.26,10.26,0.0,1.0,1.0,25590.0,0.0,1127.759152,2,9
17,10.435,10.265,10.24,0.00125,1.5,1.0,26812.5,0.5,1141.238585,4,9
20,10.325,10.2575,10.16,0.004291667,2.75,1.0,26546.5,0.75,1141.238585,1,9
20,10.35,10.2,10.2,0.0,1.0,1.0,16027.0,1.0,1129.376263,1,9
21,10.36,10.29,10.29,0.0,3.0,3.0,31544.0,1.0,1129.376263,4,9
22,10.28,10.28,10.28,0.0,1.0,1.0,29380.0,1.0,1129.376263,3,9
25,10.405,10.29,10.29,0.0,2.5,1.0,31544.0,1.0,1129.376263,5,9
26,10.30333333,10.26666667,10.24,0.000533333,4.0,2.0,26947.0,1.0,1129.376263,4,9
27,10.44333333,10.19166667,10.13,0.002696667,2.166666667,1.0,15874.33333,0.333333333,1129.376263,3,9
28,10.505,10.235,10.18,0.00605,3.5,3.0,22534.5,0.0,1129.376263,2,9
21,10.32,10.27,10.27,0.0,1.0,1.0,27452.0,1.0,1124.962329,1,9
22,10.38,10.29,10.29,0.0,1.0,1.0,31544.0,1.0,1124.962329,4,9
25,10.375,10.23,10.16,0.0098,1.5,1.0,22631.0,0.5,1124.962329,1,9
27,10.39,10.21,10.19,0.0007,3.0,3.0,17603.33333,0.666666667,1124.962329,3,9
29,10.3475,10.1825,10.15,0.001558333,1.5,1.0,14317.75,0.75,1124.962329,1,9
30,10.3675,10.25,10.23,0.000466667,1.0,1.0,23927.75,0.75,1124.962329,5,9
31,10.348,10.236,10.09,0.00738,1.4,1.0,23814.8,0.8,1124.962329,4,9
21,10.305,10.18,10.16,0.0008,3.0,1.0,13706.5,1.0,1119.149123,4,9
22,10.21666667,10.20166667,10.12,0.004136667,2.0,1.0,17670.33333,1.0,1119.149123,3,9
23,10.37,10.28,10.28,0.0,1.0,1.0,29380.0,1.0,1119.149123,2,9
25,10.29666667,10.27,10.25,0.0004,2.666666667,2.0,27588.66667,1.0,1119.149123,4,9
26,10.32,10.28666667,10.27,0.000233333,5.0,4.0,30957.33333,1.0,1119.149123,3,9
23,10.37,10.285,10.27,0.00045,1.0,1.0,30664.0,1.0,1133.368421,1,9
24,10.32,10.155,10.09,0.00845,1.0,1.0,12315.5,1.0,1133.368421,4,9
28,10.33,10.19,10.13,0.0072,1.0,1.0,16178.5,1.0,1133.368421,5,9
29,10.18333333,10.17833333,10.09,0.003936667,2.833333333,1.0,14551.66667,1.0,1133.368421,4,9
31,10.12,10.29,10.29,0.0,1.0,1.0,31544.0,1.0,1133.368421,2,9
22,10.41,10.26,10.26,0.0,2.0,2.0,25590.0,1.0,1123.62037,1,9
23,10.355,10.185,10.12,0.00845,1.5,1.0,15757.0,1.0,1123.62037,4,9
24,10.345,10.27,10.26,0.0002,1.0,1.0,27485.0,1.0,1123.62037,3,9
25,10.255,10.1975,10.17,0.000958333,2.0,1.0,16019.75,1.0,1123.62037,2,9
26,10.365,10.22,10.14,0.0128,1.5,1.0,21673.5,0.5,1123.62037,1,9
27,10.27416667,10.20916667,10.08,0.004626515,2.916666667,1.0,19000.75,0.916666667,1123.62037,5,9
28,10.31333333,10.225,10.14,0.00455,1.833333333,1.0,21268.0,0.833333333,1123.62037,4,9
29,10.21,10.17333333,10.08,0.008133333,1.666666667,1.0,14753.66667,1.0,1123.62037,3,9
22,10.455,10.28,10.26,0.0008,1.0,1.0,29733.0,0.5,1124.962329,2,9
23,10.42,10.285,10.28,5e-05,1.5,1.0,30462.0,0.5,1124.962329,1,9
24,10.4,10.28,10.28,0.0,2.0,2.0,29380.0,1.0,1124.962329,4,9
25,10.51,10.29,10.28,0.0002,2.5,1.0,31628.0,0.5,1124.962329,3,9
26,10.33666667,10.21,10.14,0.0037,1.0,1.0,18440.66667,0.666666667,1124.962329,2,9
27,10.31166667,10.24333333,10.18,0.001506667,2.666666667,1.0,23144.16667,0.833333333,1124.962329,1,9
28,10.41,10.28,10.28,0.0,2.0,2.0,29380.0,1.0,1124.962329,4,9
32,10.225,10.29,10.28,0.0002,2.0,1.0,31628.0,0.5,1124.962329,4,9
