Competitor,Rank,Mark,WIND,DOB,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
Akani SIMBINE,6354,10.1,-0.4,21-Sep-93,RSA,5,"Letzigrund, Z¨¹rich (SUI)",29-Aug-19,1174,10.06,30,25,5,2019
Akani SIMBINE,17420,10.21,-0.5,21-Sep-93,RSA,1h3,Gold Coast (AUS),8-Apr-18,1138,10.16,30,24,1,2018
Akani SIMBINE,17420,10.21,1.4,21-Sep-93,RSA,3,"Bregy¨® Athletic Center, Sz¨¦kesfeh¨¦rv¨¢r (HUN)",2-Jul-18,1135,10.35,30,24,3,2018
Akani SIMBINE,1277,9.97,-0.1,21-Sep-93,RSA,1h7,"Nemzeti Atl¨¦tikai K?zpont, Budapest (HUN)",19-Aug-23,1217,9.96,30,29,1,2023
Akani SIMBINE,1277,9.97,0,21-Sep-93,RSA,1,"Stadion ?l?ski, Chorz¨®w (POL)",16-Jul-23,1217,9.97,30,29,1,2023
Akani SIMBINE,1277,9.97,0.3,21-Sep-93,RSA,1sf1,"Hayward Field, Eugene, OR (USA)",16-Jul-22,1217,10,30,28,1,2022
Akani SIMBINE,3690,10.05,2.4,21-Sep-93,RSA,3,Durban (RSA),23-Jun-16,1175,10.29,30,22,3,2016
Akani SIMBINE,607,9.92,1.2,21-Sep-93,RSA,1,Pretoria (RSA),18-Mar-17,1234,10.04,30,23,1,2017
Akani SIMBINE,4132,10.06,2.6,21-Sep-93,RSA,1f1,Pretoria (RSA),14-Mar-15,1171,10.32,30,21,1,2015
Akani SIMBINE,27452,10.27,-0.4,21-Sep-93,RSA,1h2,Sopot (POL),27-Jun-15,1117,10.23,30,21,1,2015
Akani SIMBINE,17420,10.21,-0.7,21-Sep-93,RSA,8,"Stadion ?l?ski, Chorz¨®w (POL)",6-Aug-22,1139,10.14,30,28,8,2022
Akani SIMBINE,3236,10.04,0.9,21-Sep-93,RSA,2f1,Montreuil (FRA),19-Jun-18,1193,10.13,30,24,2,2018
Akani SIMBINE,381,9.89,1.9,21-Sep-93,RSA,1,"Bregy¨® Athletic Center, Sz¨¦kesfeh¨¦rv¨¢r (HUN)",18-Jul-16,1245,10.08,30,22,1,2016
Akani SIMBINE,8587,10.13,1.9,21-Sep-93,RSA,1,Pretoria (RSA),14-Mar-14,1162,10.32,30,20,1,2014
Akani SIMBINE,8587,10.13,1,21-Sep-93,RSA,5f1,"Stadio Olimpico, Roma (ITA)",2-Jun-16,1162,10.23,30,22,5,2016
Akani SIMBINE,8587,10.13,-0.4,21-Sep-93,RSA,5,"Stadio Olimpico, Roma (ITA)",31-May-18,1164,10.09,30,24,5,2018
Akani SIMBINE,8587,10.13,-0.7,21-Sep-93,RSA,2,"Mestsky Stadion, Ostrava (CZE)",13-Jun-18,1166,10.06,30,24,2,2018
Akani SIMBINE,1277,9.97,0,21-Sep-93,RSA,1,"Main Stadium, Gwangju (KOR)",9-Jul-15,1217,9.97,30,21,1,2015
Akani SIMBINE,18909,10.22,0.1,21-Sep-93,RSA,1f3,Sasolburg (RSA),25-Mar-14,1132,10.23,30,20,1,2014
Akani SIMBINE,8587,10.13,-1,21-Sep-93,RSA,1h1,Luzern (SUI),9-Jul-19,1168,10.03,30,25,1,2019
Akani SIMBINE,6354,10.1,1,21-Sep-93,RSA,1sf1,Pretoria (RSA),12-Mar-16,1172,10.2,30,22,1,2016
Akani SIMBINE,6354,10.1,0,21-Sep-93,RSA,6,"Letzigrund, Z¨¹rich (SUI)",24-Aug-17,1172,10.1,30,23,6,2017
Akani SIMBINE,1101,9.96,0.4,21-Sep-93,RSA,1,Pretoria (RSA),8-Mar-16,1220,10,30,22,1,2016
Akani SIMBINE,17420,10.21,-0.1,21-Sep-93,RSA,5,"Stadio Comunale, Bellinzona (SUI)",12-Sep-22,1135,10.2,30,28,5,2022
Akani SIMBINE,10382,10.15,0,21-Sep-93,RSA,4h3,"Olympic Stadium, London (GBR)",4-Aug-17,1155,10.15,30,23,4,2017
Akani SIMBINE,13525,10.18,2,21-Sep-93,RSA,1,"Germiston Stadium, Johannesburg (RSA)",9-Apr-22,1145,10.38,30,28,1,2022
Akani SIMBINE,607,9.92,0.6,21-Sep-93,RSA,1sf1,"McArthur Stadium, Potchefstroom (RSA)",30-Mar-23,1234,9.98,30,29,1,2023
Akani SIMBINE,5146,10.08,-0.4,21-Sep-93,RSA,1f1,Paarl (RSA),22-Mar-18,1181,10.04,30,24,1,2018
Akani SIMBINE,2237,10.01,-0.5,21-Sep-93,RSA,1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",19-Apr-24,1206,9.96,30,30,1,2024
Akani SIMBINE,2237,10.01,-0.1,21-Sep-93,RSA,1,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27-Apr-24,1203,10,30,30,1,2024
Akani SIMBINE,1954,10,0.6,21-Sep-93,RSA,2f1,Kingston (JAM),10-Jun-17,1206,10.06,30,23,2,2017
