Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
1986,21,10.48,10.29,10.29,0,1,1,31544,1,Raymond STEWART,1151.202683,3,7,1
1987,22,10.21,10.1525,9.89,0.009914474,1.5,1,13398.85,0.8,Raymond STEWART,1151.202683,2,7,1
1988,23,10.23,10.14357143,10.01,0.006824725,1.714285714,1,11859.07143,0.857142857,Raymond STEWART,1151.202683,1,7,1
1989,24,10.19705882,10.06705882,9.9,0.010059559,1.117647059,1,6544.117647,0.705882353,Raymond STEWART,1151.202683,4,7,1
1990,25,10.25571429,10.22857143,10.17,0.001780952,2.285714286,1,20851.71429,1,Raymond STEWART,1151.202683,3,7,1
1991,26,10.25181818,10.15454545,9.96,0.010987273,2.545454545,1,13884.36364,0.909090909,Raymond STEWART,1151.202683,2,7,1
1992,27,10.265,10.17166667,10.06,0.005856667,2.666666667,1,14333.83333,1,Raymond STEWART,1151.202683,1,7,1
1993,28,10.25222222,10.19555556,10.11,0.003477778,3.444444444,1,16751.33333,1,Raymond STEWART,1151.202683,4,9,0
1994,29,10.39,10.17333333,10.09,0.005233333,3.666666667,2,14017,0.666666667,Raymond STEWART,1151.202683,3,9,0
1995,30,10.26,10.19076923,9.89,0.011507692,3.461538462,1,18119.30769,0.846153846,Raymond STEWART,1151.202683,2,9,0
1996,31,10.335,10.1975,10.18,0.000291667,2.666666667,1,15790.75,0.75,Raymond STEWART,1151.202683,1,9,0
1997,32,10.25222222,10.18111111,10.1,0.005486111,1.888888889,1,15552,0.888888889,Raymond STEWART,1151.202683,4,9,0
1998,33,10.35,10.25,10.25,0,1,1,23770,1,Raymond STEWART,1151.202683,3,9,0
1999,34,10.375,10.24,10.22,0.0008,2.5,2,22249.5,1,Raymond STEWART,1151.202683,2,9,0
2000,35,10.50666667,10.10666667,9.99,0.011433333,1.5,1,8776.666667,0,Raymond STEWART,1151.202683,1,9,0
2016,20,10.19,10.04,10.04,0,1,1,3236,1,Reece PRESCOD,1137.753126,1,9,0
2017,21,10.17,10.11888889,10.03,0.003536111,2.777777778,1,8597.333333,0.888888889,Reece PRESCOD,1137.753126,5,9,0
2018,22,10.04222222,10.02,9.88,0.006725,2.555555556,1,3461.555556,0.888888889,Reece PRESCOD,1137.753126,4,9,0
2019,23,10.06,9.97,9.97,0,4,4,1277,1,Reece PRESCOD,1137.753126,3,9,0
2021,25,10.204,10.184,10.12,0.00343,3.6,1,15073.6,1,Reece PRESCOD,1137.753126,1,9,0
2011,19,10.65,10.28,10.28,0,1,1,29380,0,Remontay MCCLAIN,1144.561396,2,9,0
2012,20,10.51,10.22,10.16,0.0072,1.5,1,20383,0,Remontay MCCLAIN,1144.561396,1,9,0
2013,21,10.43666667,10.27,10.25,0.0004,2,1,27588.66667,0.666666667,Remontay MCCLAIN,1144.561396,4,9,0
2014,22,10.195,10.22,10.14,0.0128,1.5,1,21673.5,1,Remontay MCCLAIN,1144.561396,3,9,0
2015,23,10.25923077,10.06076923,9.82,0.012824359,2.307692308,1,6257.923077,0.538461538,Remontay MCCLAIN,1144.561396,2,9,0
2016,24,10.34571429,10.17714286,10.04,0.005657143,3.428571429,1,14916.71429,0.714285714,Remontay MCCLAIN,1144.561396,1,9,0
2017,25,10.36,10.17333333,10.04,0.006786667,2.833333333,1,14786.83333,0.666666667,Remontay MCCLAIN,1144.561396,5,9,0
2018,26,10.338,10.212,10.12,0.00637,2.8,1,19750.6,0.8,Remontay MCCLAIN,1144.561396,4,9,0
2021,29,10.51,10.27,10.27,0,1,1,27452,0,Remontay MCCLAIN,1144.561396,1,9,0
1995,25,10.218,10.218,10.16,0.00212,2.8,1,19305,1,Renward WELLS,1131.111437,2,9,0
1996,26,10.66,10.3,10.3,0,3,3,33876,0,Renward WELLS,1131.111437,1,9,0
1997,27,10.51,10.24,10.24,0,,,22081,0,Renward WELLS,1131.111437,4,9,0
1998,28,10.47,10.2,10.2,0,3,3,16027,0,Renward WELLS,1131.111437,3,9,0
1999,29,10.35,10.29,10.29,0,1,1,31544,1,Renward WELLS,1131.111437,2,9,0
2000,30,10.45333333,10.26333333,10.25,0.000233333,3.5,3,26246.66667,0.666666667,Renward WELLS,1131.111437,1,9,0
2016,20,10.65666667,10.25666667,10.2,0.002633333,3,2,25785,0.333333333,Reuben ARTHUR,1137.753126,1,9,0
2017,21,10.3925,10.2175,10.18,0.002425,3,1,19280.75,0.5,Reuben ARTHUR,1137.753126,5,9,0
2019,23,10.47333333,10.25666667,10.21,0.001733333,2.666666667,1,25472,0.333333333,Reuben ARTHUR,1137.753126,3,9,0
2014,18,10.43,10.265,10.26,5.00E-05,1.5,1,26521,1,Reynier MENA,1131.117647,3,9,0
2015,19,10.41333333,10.19,10.08,0.004,3,1,16016,0.5,Reynier MENA,1131.117647,2,9,0
2016,20,10.37,10.2425,10.22,0.000491667,1.5,1,22652.75,0.5,Reynier MENA,1131.117647,1,9,0
2017,21,10.35,10.21333333,10.14,0.002466667,2.666666667,1,18766.33333,0.833333333,Reynier MENA,1131.117647,5,9,0
2018,22,10.31,10.19,10.06,0.010733333,2.428571429,1,18393,0.571428571,Reynier MENA,1131.117647,4,9,0
2019,23,10.355,10.13428571,9.99,0.013703297,1.142857143,1,13239.85714,0.5,Reynier MENA,1131.117647,3,9,0
2020,24,10.3925,10.19,10.02,0.015333333,1.25,1,18880.5,0.5,Reynier MENA,1131.117647,2,9,0
2012,25,10.3,10.24,10.24,0,1,1,22081,1,Reza GHASEMI,1135.241758,1,9,0
2013,26,10.285,10.25,10.16,0.004066667,1.25,1,25144,1,Reza GHASEMI,1135.241758,4,9,0
2014,27,10.34333333,10.25,10.2,0.0025,3.333333333,1,24557.66667,0.666666667,Reza GHASEMI,1135.241758,3,9,0
2015,28,10.30571429,10.20571429,10.12,0.004261905,2.285714286,1,18281.71429,1,Reza GHASEMI,1135.241758,2,9,0
2016,29,10.36666667,10.28,10.27,0.0001,1,1,29458.66667,1,Reza GHASEMI,1135.241758,1,9,0
2018,31,10.44,10.25,10.25,0,1,1,23770,1,Reza GHASEMI,1135.241758,4,9,0
2016,22,10.52,10.22,10.22,0,1,1,18909,0,Riak REESE,1144.561396,1,9,0
2017,23,10.405,10.17,10.13,0.0032,1.5,1,13003.5,0.5,Riak REESE,1144.561396,5,9,0
2018,24,10.38125,10.18875,10.14,0.003298214,3.25,1,15772.875,0.5,Riak REESE,1144.561396,4,9,0
2019,25,10.49333333,10.23666667,10.18,0.003033333,1.333333333,1,22383.33333,0.333333333,Riak REESE,1144.561396,3,9,0
1998,22,10.43,10.24666667,10.19,0.003033333,3,2,24116,0.666666667,Ricardo WILLIAMS,1151.202683,3,9,0
1999,23,10.515,10.24,10.21,0.0018,2,2,22436,0,Ricardo WILLIAMS,1151.202683,2,9,0
2000,24,10.4575,10.275,10.23,0.0011,7.5,7,28921,0.75,Ricardo WILLIAMS,1151.202683,1,9,0
2001,25,10.44,10.23,10.23,0,2,2,20480,0.5,Ricardo WILLIAMS,1151.202683,4,9,0
2002,26,10.44,10.18,10.07,0.0242,3,3,18075,0.5,Ricardo WILLIAMS,1151.202683,3,9,0
2003,27,10.35714286,10.23285714,10.13,0.00332381,2.833333333,2,22113.42857,0.714285714,Ricardo WILLIAMS,1151.202683,2,9,0
2004,28,10.44,10.21,10.14,0.0058,3,2,19246.75,0.5,Ricardo WILLIAMS,1151.202683,1,9,0
2006,30,10.394,10.26,10.23,0.0006,1.2,1,25788.8,1,Ricardo WILLIAMS,1151.202683,3,9,0
2007,31,10.37461538,10.23769231,10.13,0.002585897,2.538461538,1,22685.15385,0.615384615,Ricardo WILLIAMS,1151.202683,2,9,0
2008,32,10.56333333,10.26333333,10.24,0.001033333,2.333333333,1,26575.66667,0.333333333,Ricardo WILLIAMS,1151.202683,1,9,0
2009,33,10.51,10.27,10.27,0,4,4,27452,0,Ricardo WILLIAMS,1151.202683,4,9,0
2012,23,10.33,10.19,10.15,0.0032,1.5,1,15431,0.5,Richard KILTY,1137.753126,1,9,0
2013,24,10.2625,10.22,10.1,0.007266667,1.5,1,21120,1,Richard KILTY,1137.753126,4,9,0
2014,25,10.31888889,10.22444444,10.12,0.003702778,4.888888889,2,20911.66667,0.777777778,Richard KILTY,1137.753126,3,9,0
2015,26,10.19375,10.15625,10.05,0.006255357,3.25,1,12891.875,1,Richard KILTY,1137.753126,2,9,0
2016,27,10.26363636,10.13363636,9.92,0.010165455,2.727272727,1,11422.90909,0.727272727,Richard KILTY,1137.753126,1,9,0
2017,28,10.334,10.232,10.18,0.00187,3.6,1,21372.8,1,Richard KILTY,1137.753126,5,9,0
2018,29,10.28,10.26,10.26,0,1,1,25590,1,Richard KILTY,1137.753126,4,9,0
2019,30,10.26,10.26,10.23,0.0007,4,1,25770.66667,1,Richard KILTY,1137.753126,3,9,0
2021,32,10.53,10.3,10.3,0,1,1,33876,0,Richard KILTY,1137.753126,1,9,0
2006,21,10.465,10.265,10.26,5.00E-05,2.5,2,26521,0.5,Richard THOMPSON,1147.236581,3,9,0
2007,22,10.31142857,10.17,9.95,0.013366667,2.142857143,1,16021.42857,0.571428571,Richard THOMPSON,1147.236581,2,9,0
2008,23,10.11294118,10.05823529,9.89,0.010140441,2,1,6098.529412,0.941176471,Richard THOMPSON,1147.236581,1,9,0
2009,24,10.12142857,10.07142857,9.93,0.00669011,3.714285714,1,6157.714286,0.928571429,Richard THOMPSON,1147.236581,4,9,0
2010,25,10.16882353,10.11117647,9.89,0.012198529,2.352941176,1,10128.52941,0.823529412,Richard THOMPSON,1147.236581,3,9,0
2011,26,10.145,10.08833333,9.85,0.009767647,3.444444444,1,7655.666667,0.888888889,Richard THOMPSON,1147.236581,2,9,0
2012,27,10.166,10.121,9.96,0.011232222,3.8,1,10702.5,1,Richard THOMPSON,1147.236581,1,9,0
2013,28,10.30888889,10.14444444,9.91,0.011177778,3.555555556,1,12592.33333,0.555555556,Richard THOMPSON,1147.236581,4,9,0
2014,29,10.155,10.09555556,9.74,0.019026144,2.722222222,1,9583.277778,0.944444444,Richard THOMPSON,1147.236581,3,9,0
2015,30,10.26,10.11666667,10.04,0.017633333,4.333333333,1,11308,1,Richard THOMPSON,1147.236581,2,9,0
2016,31,10.29375,10.18125,9.97,0.0116125,2.625,1,17076.625,0.875,Richard THOMPSON,1147.236581,1,9,0
2021,36,10.505,10.285,10.27,0.00045,2.5,2,30664,0.5,Richard THOMPSON,1147.236581,1,9,0
2007,22,10.234,10.206,10.16,0.00228,2.2,1,17629.6,1,Rikki FIFTON,1137.753126,2,9,0
2008,23,10.36,10.268,10.21,0.00127,3.4,1,27562,1,Rikki FIFTON,1137.753126,1,9,0
2009,24,10.29,10.25,10.25,0,1,1,23770,1,Rikki FIFTON,1137.753126,4,9,0
2010,25,10.25,10.24,10.23,0.0002,1.5,1,22125,1,Rikki FIFTON,1137.753126,3,9,0
2019,20,10.48,10.26,10.26,0,2,2,25590,0,Rikkoi BRATHWAITE,1135.625,3,9,0
2021,22,10.435,10.215,10.1,0.006833333,1.5,1,20151.5,0.25,Rikkoi BRATHWAITE,1135.625,1,9,0
2020,21,10.51,10.26,10.26,0,1,1,25590,0,Rikuto HIGUCHI,1127.759152,2,9,0
1993,21,10.24333333,10.27666667,10.23,0.001633333,3.333333333,1,29410.66667,1,Robert ESMIE,1140.106017,4,9,0
1994,22,10.38,10.18,10.18,0,1,1,13525,1,Robert ESMIE,1140.106017,3,9,0
1996,24,10.35,10.18,10.08,0.02,3,1,17263,0.5,Robert ESMIE,1140.106017,1,9,0
1997,25,10.2375,10.195,10.1,0.004457143,1.857142857,1,16909.125,0.75,Robert ESMIE,1140.106017,4,9,0
1998,26,10.49,10.195,10.18,0.00045,2,2,15472.5,0,Robert ESMIE,1140.106017,3,9,0
2021,20,10.48,10.275,10.27,5.00E-05,2,1,28416,0.5,Robert GREGORY,1144.561396,1,9,0
2010,19,10.36,10.29,10.29,0,1,1,31544,1,Roberto SKYERS,1131.117647,3,9,0
2015,24,10.335,10.22,10.13,0.006866667,1.5,1,21072.25,0.75,Roberto SKYERS,1131.117647,2,9,0
2016,25,10.22333333,10.14666667,10.11,0.001233333,1,1,10308,1,Roberto SKYERS,1131.117647,1,9,0
2017,26,10.305,10.16,10.06,0.02,1.5,1,14861,0.5,Roberto SKYERS,1131.117647,5,9,0
2018,27,10.29,10.18,10.18,0,2,2,13525,1,Roberto SKYERS,1131.117647,4,9,0
2019,28,10.34111111,10.12888889,9.98,0.014811111,1.555555556,1,12644.88889,0.444444444,Roberto SKYERS,1131.117647,3,9,0
2020,29,10.39,10.2,10.07,0.0133,1.333333333,1,19410.33333,0.666666667,Roberto SKYERS,1131.117647,2,9,0
1985,21,10.36,10.22,10.22,0,3,3,18909,1,Robson DA SILVA,1129.376263,4,5,1
1986,22,10.2,10.02,10.02,0,1,1,2531,1,Robson DA SILVA,1129.376263,3,5,1
1987,23,10.22,10.27,10.27,0,2,2,27452,1,Robson DA SILVA,1129.376263,2,5,1
1988,24,10.27727273,10.17090909,10,0.007209091,2.727272727,1,14773.54545,0.909090909,Robson DA SILVA,1129.376263,1,5,1
1989,25,10.1925,10.215,10.17,0.0009,1.5,1,18471.5,1,Robson DA SILVA,1129.376263,4,9,0
1990,26,10.24,10.19,10.12,0.0098,2.5,1,16667,1,Robson DA SILVA,1129.376263,3,9,0
1991,27,10.27666667,10.16555556,10.08,0.004377778,2.888888889,1,13324,0.888888889,Robson DA SILVA,1129.376263,2,9,0
1992,28,10.296,10.232,10.17,0.00187,2,1,21412.2,1,Robson DA SILVA,1129.376263,1,9,0
1993,29,10.275,10.255,10.2,0.001633333,1.75,1,25180.25,1,Robson DA SILVA,1129.376263,4,9,0
1995,31,10.18666667,10.22333333,10.18,0.003433333,3.333333333,2,20365.33333,1,Robson DA SILVA,1129.376263,2,9,0
1996,32,10.36,10.3,10.3,0,4,4,33876,1,Robson DA SILVA,1129.376263,1,9,0
1997,33,10.74,10.21,10.21,0,3,3,17420,0,Robson DA SILVA,1129.376263,4,9,0
1981,19,10.29,10.285,10.28,5.00E-05,1.5,1,30462,1,Rod RICHARDSON,1144.561396,4,9,0
1982,20,10.3,10.09,10.09,0,1,1,5722,0,Rod RICHARDSON,1144.561396,3,9,0
1983,21,10.334,10.19,10.12,0.00295,1.8,1,15697.4,0.8,Rod RICHARDSON,1144.561396,2,9,0
1984,22,10.25,10.3,10.3,0,6,6,33876,1,Rod RICHARDSON,1144.561396,1,9,0
1985,23,10.39,10.23,10.23,0,1,1,20480,1,Rod RICHARDSON,1144.561396,4,9,0
2009,24,10.45,10.27666667,10.25,0.000633333,2.333333333,1,29008.66667,0.666666667,Rodney GREEN,1131.111437,4,9,0
2011,26,10.455,10.215,10.15,0.00845,4.5,4,19881,0.5,Rodney GREEN,1131.111437,2,9,0
2012,27,10.21,10.2,10.2,0,1,1,16027,1,Rodney GREEN,1131.111437,1,9,0
2013,28,10.6,10.2925,10.27,0.000225,5.25,3,32270,0,Rodney GREEN,1131.111437,4,9,0
2005,23,10.425,10.255,10.25,5.00E-05,2,1,24680,1,Rodney MARTIN,1144.561396,4,9,0
2006,24,10.382,10.272,10.24,0.00062,3.6,2,28096.6,0.8,Rodney MARTIN,1144.561396,3,9,0
2008,26,10.265,10.16285714,9.95,0.011791209,3.785714286,1,15112.35714,0.785714286,Rodney MARTIN,1144.561396,1,9,0
2009,27,10.375,10.19,10.09,0.02,2.5,2,18633,0.5,Rodney MARTIN,1144.561396,4,9,0
2017,20,10.57,10.29,10.28,0.0002,3,3,31628,0,Rodney ROWE,1144.561396,5,9,0
2018,21,10.434,10.268,10.22,0.00157,2.8,2,27737,0.8,Rodney ROWE,1144.561396,4,9,0
2019,22,10.28142857,10.13428571,10.05,0.007061905,1.857142857,1,10968.28571,0.714285714,Rodney ROWE,1144.561396,3,9,0
2021,24,10.54,10.24666667,10.22,0.000633333,6,2,23377,0,Rodney ROWE,1144.561396,1,9,0
2016,22,10.32,10.25666667,10.21,0.002033333,2.666666667,1,25628.66667,0.666666667,Rodrigo DO NASCIMENTO,1129.376263,1,9,0
2018,24,10.28142857,10.22785714,10.14,0.002587363,1.785714286,1,21147.21429,0.928571429,Rodrigo DO NASCIMENTO,1129.376263,4,9,0
2019,25,10.25933333,10.21933333,10.1,0.00486381,1.733333333,1,20621.4,0.933333333,Rodrigo DO NASCIMENTO,1129.376263,3,9,0
2020,26,10.42333333,10.15666667,10.13,0.000933333,1,1,11223.66667,0.333333333,Rodrigo DO NASCIMENTO,1129.376263,2,9,0
2021,27,10.30333333,10.22888889,10.15,0.001661111,1.777777778,1,20885.33333,0.666666667,Rodrigo DO NASCIMENTO,1129.376263,1,9,0
2014,17,10.52,10.18,10.18,0,2,2,13525,0,Rohan BROWNING,1123.370066,3,9,0
2016,19,10.53,10.27,10.27,0,1,1,27452,0,Rohan BROWNING,1123.370066,1,9,0
2017,20,10.2,10.19,10.19,0,1,1,14702,1,Rohan BROWNING,1123.370066,5,9,0
2018,21,10.24,10.25,10.2,0.001,1.833333333,1,24143.83333,1,Rohan BROWNING,1123.370066,4,9,0
2019,22,10.27,10.18,10.08,0.02,1.5,1,17263,1,Rohan BROWNING,1123.370066,3,9,0
2020,23,10.408,10.14,10.06,0.00485,1.2,1,10718,0.4,Rohan BROWNING,1123.370066,2,9,0
2021,24,10.20157895,10.15105263,9.96,0.008076608,1.894736842,1,12939.36842,0.842105263,Rohan BROWNING,1123.370066,1,9,0
1996,22,10.22,10.22,10.22,0,1,1,18909,1,Roland N¨¦METH,1118.43956,1,9,0
1998,24,10.43,10.26,10.26,0,2,2,25590,1,Roland N¨¦METH,1118.43956,3,9,0
1999,25,10.27,10.2125,10.08,0.004707143,2,1,19393.5,1,Roland N¨¦METH,1118.43956,2,9,0
2000,26,10.26,10.24222222,10.1,0.004219444,2.125,1,24001.11111,0.888888889,Roland N¨¦METH,1118.43956,1,9,0
2002,28,10.3575,10.245,10.2,0.000828571,1.5,1,23208.625,0.75,Roland N¨¦METH,1118.43956,3,9,0
2004,30,10.26,10.245,10.21,0.00245,2,1,23400,1,Roland N¨¦METH,1118.43956,1,9,0
2006,32,10.39,10.28,10.28,0,1,1,29380,1,Roland N¨¦METH,1118.43956,3,9,0
2017,18,10.375,10.21,10.21,0,1,1,17420,0.5,Romell GLAVE,1151.202683,5,9,0
2019,20,10.44,10.165,10.06,0.02205,1,1,15792,0,Romell GLAVE,1151.202683,3,9,0
2021,22,10.3,10.15,9.97,0.01252,1.166666667,1,13501.66667,0.5,Romell GLAVE,1151.202683,1,9,0
1981,20,10.33,10.195,10.08,0.00451,2.333333333,1,16813.33333,0.833333333,Ron BROWN,1144.561396,4,9,0
1983,22,10.28181818,10.15,10.01,0.00796,1.363636364,1,12694.09091,0.636363636,Ron BROWN,1144.561396,2,9,0
1984,23,10.28222222,10.16333333,10.05,0.006,1.888888889,1,13584.22222,0.555555556,Ron BROWN,1144.561396,1,9,0
1988,27,10.275,10.2775,10.26,0.000225,3,1,29032.5,1,Ron BROWN,1144.561396,1,9,0
2002,20,10.295,10.245,10.24,5.00E-05,2,1,22925.5,1,Ronald POGNON,1138.013621,3,9,0
2003,21,10.30416667,10.22083333,10.12,0.003844697,2.25,1,20505.16667,0.916666667,Ronald POGNON,1138.013621,2,9,0
2004,22,10.2475,10.19375,10.11,0.003798214,2,1,16610.25,0.875,Ronald POGNON,1138.013621,1,9,0
2005,23,10.1925,10.129,9.99,0.007335789,2.9,1,10698.6,0.8,Ronald POGNON,1138.013621,4,9,0
2006,24,10.23666667,10.18962963,10.1,0.002949858,2.962962963,1,15859.40741,0.962962963,Ronald POGNON,1138.013621,3,9,0
2008,26,10.29230769,10.22461538,10.1,0.003710256,4.538461538,1,20976.53846,0.923076923,Ronald POGNON,1138.013621,1,9,0
2009,27,10.333,10.26,10.15,0.002555556,3.9,1,26655.2,0.9,Ronald POGNON,1138.013621,4,9,0
2010,28,10.345,10.25,10.22,0.001266667,1.75,1,24258.75,0.75,Ronald POGNON,1138.013621,3,9,0
2012,30,10.51,10.185,10.17,0.00045,6,6,14236.5,0,Ronald POGNON,1138.013621,1,9,0
2009,23,10.348,10.254,10.22,0.00128,4.2,2,24968.8,1,Rondel SORRILLO,1147.236581,4,9,0
2010,24,10.3425,10.1175,10.05,0.003691667,2.25,1,8396.25,0.25,Rondel SORRILLO,1147.236581,3,9,0
2011,25,10.32333333,10.21,10.17,0.0037,3.666666667,1,18450.33333,0.666666667,Rondel SORRILLO,1147.236581,2,9,0
2012,26,10.30428571,10.18,10.03,0.007133333,3.142857143,1,15679.14286,0.857142857,Rondel SORRILLO,1147.236581,1,9,0
2013,27,10.295,10.19333333,9.99,0.011466667,2.333333333,1,18387,0.666666667,Rondel SORRILLO,1147.236581,4,9,0
2014,28,10.292,10.204,10.09,0.00458,2.4,1,17996.6,1,Rondel SORRILLO,1147.236581,3,9,0
2015,29,10.28333333,10.21,10.16,0.0061,2.333333333,2,19236,1,Rondel SORRILLO,1147.236581,2,9,0
2016,30,10.2575,10.1725,9.99,0.014825,1.75,1,16189.25,1,Rondel SORRILLO,1147.236581,1,9,0
2017,31,10.37,10.205,10.15,0.00605,2,1,17986,1,Rondel SORRILLO,1147.236581,5,9,0
2019,33,10.38,10.2,10.17,0.0018,1.5,1,16463,0.5,Rondel SORRILLO,1147.236581,3,9,0
2014,21,10.428,10.234,10.14,0.00423,1.8,1,22558.2,0.6,Ronnie BAKER,1144.561396,3,9,0
2015,22,10.25166667,10.0825,9.94,0.008765909,3,1,7119.083333,0.666666667,Ronnie BAKER,1144.561396,2,9,0
2016,23,10.249,10.132,9.95,0.008528889,1.9,1,11111.5,0.8,Ronnie BAKER,1144.561396,1,9,0
2017,24,10.07125,10.05125,9.86,0.018183929,3.125,1,7444.75,0.875,Ronnie BAKER,1144.561396,5,5,1
2018,25,9.990769231,9.921538462,9.78,0.003697436,1.230769231,1,836.9230769,0.923076923,Ronnie BAKER,1144.561396,4,5,1
2019,26,10.02333333,10.24666667,10.2,0.001733333,2.333333333,1,23665.66667,0.666666667,Ronnie BAKER,1144.561396,3,5,1
2020,27,10.25,10.115,10,0.02645,2,1,11217,1,Ronnie BAKER,1144.561396,2,5,1
2021,28,10.030625,9.95875,9.82,0.013078333,1.875,1,3083.1875,0.875,Ronnie BAKER,1144.561396,1,5,1
2000,26,10.3,10.3,10.3,0,1,1,33876,1,Ronny OSTWALD,1124.962329,1,9,0
2003,29,10.285,10.265,10.24,0.00125,2,1,26812.5,1,Ronny OSTWALD,1124.962329,2,9,0
2004,30,10.3,10.2475,10.22,0.000625,1.75,1,23535,1,Ronny OSTWALD,1124.962329,1,9,0
2006,32,10.4825,10.2825,10.24,0.000825,2,1,30344.25,0.75,Ronny OSTWALD,1124.962329,3,9,0
2011,22,10.35,10.19,10.19,0,2,2,14702,1,Roscoe ENGEL,1140.91766,2,9,0
2012,23,10.238,10.262,10.2,0.00232,1.6,1,26846.4,1,Roscoe ENGEL,1140.91766,1,9,0
2013,24,10.416,10.248,10.2,0.00127,1.8,1,23844,0.6,Roscoe ENGEL,1140.91766,4,9,0
2014,25,10.39,10.17,10.17,0,1,1,12446,0,Roscoe ENGEL,1140.91766,3,9,0
2015,26,10.37666667,10.20666667,10.12,0.005733333,1.333333333,1,18471.66667,0.666666667,Roscoe ENGEL,1140.91766,2,9,0
2016,27,10.375,10.285,10.28,5.00E-05,1.5,1,30462,1,Roscoe ENGEL,1140.91766,1,9,0
2017,28,10.605,10.26,10.25,0.0002,1,1,25611,0,Roscoe ENGEL,1140.91766,5,9,0
2018,29,10.294,10.232,10.06,0.00952,3,1,23688.4,0.8,Roscoe ENGEL,1140.91766,4,9,0
2019,30,10.36,10.3,10.3,0,2.5,1,33876,1,Roscoe ENGEL,1140.91766,3,9,0
2021,32,10.54,10.26,10.26,0,3,3,25590,0,Roscoe ENGEL,1140.91766,1,9,0
2014,23,10.54333333,10.28333333,10.26,0.000433333,3.666666667,1,30336.66667,0.333333333,Roy SCHMIDT,1124.962329,3,9,0
2016,25,10.47,10.29,10.29,0,3,3,31544,1,Roy SCHMIDT,1124.962329,1,9,0
2017,26,10.42,10.272,10.24,0.00052,1.8,1,28061.4,0.6,Roy SCHMIDT,1124.962329,5,9,0
2018,27,10.41,10.27,10.27,0,5,5,27452,1,Roy SCHMIDT,1124.962329,4,9,0
2019,28,10.36333333,10.20666667,10.12,0.006033333,5,1,18558.66667,0.666666667,Roy SCHMIDT,1124.962329,3,9,0
2021,30,10.55,10.25,10.25,0,8,8,23770,0,Roy SCHMIDT,1124.962329,1,9,0
2004,21,10.55,10.26,10.26,0,7,7,25590,0,Rubin WILLIAMS,1144.561396,1,9,0
2006,23,10.45,10.24,10.21,0.0018,4.5,2,22436,0.5,Rubin WILLIAMS,1144.561396,3,9,0
2007,24,10.465,10.265,10.26,5.00E-05,6.5,6,26521,0.5,Rubin WILLIAMS,1144.561396,2,9,0
2008,25,10.41,10.17,9.96,0.014771429,3.375,1,16763,0.75,Rubin WILLIAMS,1144.561396,1,9,0
2009,26,10.37666667,10.23333333,10.21,0.001033333,4.333333333,2,21260.33333,0.666666667,Rubin WILLIAMS,1144.561396,4,9,0
2010,27,10.455,10.2675,10.25,0.000291667,2.25,2,27089,0.5,Rubin WILLIAMS,1144.561396,3,9,0
2011,28,10.67,10.18,10.18,0,3,3,13525,0,Rubin WILLIAMS,1144.561396,2,9,0
2012,29,10.46,10.255,10.21,0.00405,1,1,25648,0.5,Rubin WILLIAMS,1144.561396,1,9,0
2015,32,10.515,10.25,10.21,0.0032,2.5,2,24482,0.5,Rubin WILLIAMS,1144.561396,2,9,0
2008,19,10.505,10.285,10.28,5.00E-05,5,1,30462,0.5,Ryan BAILEY,1144.561396,1,9,0
2009,20,10.27428571,10.15428571,10.05,0.006928571,1.714285714,1,12801.28571,0.857142857,Ryan BAILEY,1144.561396,4,4,1
2010,21,10.11909091,10.11272727,9.88,0.012081818,2.818181818,1,9890.272727,0.909090909,Ryan BAILEY,1144.561396,3,4,1
2012,23,10.05571429,9.993571429,9.88,0.005178571,2.357142857,1,2435.571429,1,Ryan BAILEY,1144.561396,1,4,1
2013,24,10.20333333,10.16,10,0.01044,2.333333333,1,14227.5,0.833333333,Ryan BAILEY,1144.561396,4,9,0
2014,25,10.20272727,10.21454545,10.03,0.007047273,3.363636364,1,20533,0.909090909,Ryan BAILEY,1144.561396,3,9,0
2015,26,10.165,9.91,9.89,0.0008,2,2,542.5,0.5,Ryan BAILEY,1144.561396,2,9,0
2019,18,10.62,10.26,10.26,0,1,1,25590,0,Ryan MARTIN,1144.561396,3,9,0
2021,20,10.59,10.185,10.14,0.00405,5,1,14975.5,0,Ryan MARTIN,1144.561396,1,9,0
2011,21,10.32333333,10.19,10.07,0.0112,1,1,17512.66667,0.666666667,Ryan MILUS,1144.561396,2,9,0
2012,22,10.344,10.264,10.21,0.00118,1.8,1,26731.6,1,Ryan MILUS,1144.561396,1,9,0
2013,23,10.384,10.214,10.14,0.00333,2.6,1,19102.8,0.6,Ryan MILUS,1144.561396,4,9,0
2006,24,10.68,10.275,10.27,5.00E-05,2.5,2,28416,0,Ryan MOSELEY,1125.944444,3,9,0
2009,27,10.358,10.256,10.21,0.00163,3.6,1,25467.8,0.8,Ryan MOSELEY,1125.944444,4,9,0
2010,28,10.32333333,10.24666667,10.18,0.003433333,5,4,24173.66667,1,Ryan MOSELEY,1125.944444,3,9,0
2010,27,10.62,10.21,10.21,0,2,2,17420,0,Ryan SHIELDS,1151.202683,3,9,0
2011,28,10.31,10.275,10.27,5.00E-05,1,1,28416,1,Ryan SHIELDS,1151.202683,2,9,0
