Year,age_at_event mean,Average Net Result mean,Mark mean,Mark min,Mark var,current_match_ranking mean,current_match_ranking min,Average Rank mean,efficiency mean,Athlete,Nat,Years to Olympics,Olympic Ranking,Finalist_weight
2008,21,10.32,10.27,10.27,0,1,1,27452,1,Aleixo Platini MENGA,1124.962329,1,9,0
2009,22,10.38,10.29,10.29,0,1,1,31544,1,Aleixo Platini MENGA,1124.962329,4,9,0
2012,25,10.375,10.23,10.16,0.0098,1.5,1,22631,0.5,Aleixo Platini MENGA,1124.962329,1,9,0
2014,27,10.39,10.21,10.19,0.0007,3,3,17603.33333,0.666666667,Aleixo Platini MENGA,1124.962329,3,9,0
2016,29,10.3475,10.1825,10.15,0.001558333,1.5,1,14317.75,0.75,Aleixo Platini MENGA,1124.962329,1,9,0
2017,30,10.3675,10.25,10.23,0.000466667,1,1,23927.75,0.75,Aleixo Platini MENGA,1124.962329,5,9,0
2018,31,10.348,10.236,10.09,0.00738,1.4,1,23814.8,0.8,Aleixo Platini MENGA,1124.962329,4,9,0
1993,21,10.305,10.18,10.16,0.0008,3,1,13706.5,1,Aleksandr PORKHOMOVSKIY,1119.149123,4,9,0
1994,22,10.21666667,10.20166667,10.12,0.004136667,2,1,17670.33333,1,Aleksandr PORKHOMOVSKIY,1119.149123,3,9,0
1995,23,10.37,10.28,10.28,0,1,1,29380,1,Aleksandr PORKHOMOVSKIY,1119.149123,2,9,0
1997,25,10.29666667,10.27,10.25,0.0004,2.666666667,2,27588.66667,1,Aleksandr PORKHOMOVSKIY,1119.149123,4,9,0
1998,26,10.32,10.28666667,10.27,0.000233333,5,4,30957.33333,1,Aleksandr PORKHOMOVSKIY,1119.149123,3,9,0
2012,23,10.37,10.285,10.27,0.00045,1,1,30664,1,Alex QUI?¨®NEZ,1133.368421,1,9,0
2013,24,10.32,10.155,10.09,0.00845,1,1,12315.5,1,Alex QUI?¨®NEZ,1133.368421,4,9,0
2017,28,10.33,10.19,10.13,0.0072,1,1,16178.5,1,Alex QUI?¨®NEZ,1133.368421,5,9,0
2018,29,10.18333333,10.17833333,10.09,0.003936667,2.833333333,1,14551.66667,1,Alex QUI?¨®NEZ,1133.368421,4,9,0
2020,31,10.12,10.29,10.29,0,1,1,31544,1,Alex QUI?¨®NEZ,1133.368421,2,9,0
2012,22,10.41,10.26,10.26,0,2,2,25590,1,Alex WILSON,1123.62037,1,9,0
2013,23,10.355,10.185,10.12,0.00845,1.5,1,15757,1,Alex WILSON,1123.62037,4,9,0
2014,24,10.345,10.27,10.26,0.0002,1,1,27485,1,Alex WILSON,1123.62037,3,9,0
2015,25,10.255,10.1975,10.17,0.000958333,2,1,16019.75,1,Alex WILSON,1123.62037,2,9,0
2016,26,10.365,10.22,10.14,0.0128,1.5,1,21673.5,0.5,Alex WILSON,1123.62037,1,9,0
2017,27,10.27416667,10.20916667,10.08,0.004626515,2.916666667,1,19000.75,0.916666667,Alex WILSON,1123.62037,5,9,0
2018,28,10.31333333,10.225,10.14,0.00455,1.833333333,1,21268,0.833333333,Alex WILSON,1123.62037,4,9,0
2019,29,10.21,10.17333333,10.08,0.008133333,1.666666667,1,14753.66667,1,Alex WILSON,1123.62037,3,9,0
1998,21,10.54,10.3,10.3,0,,,33876,0,Alexander KOSENKOW,1124.962329,3,9,0
1999,22,10.455,10.28,10.26,0.0008,1,1,29733,0.5,Alexander KOSENKOW,1124.962329,2,9,0
2000,23,10.42,10.285,10.28,5.00E-05,1.5,1,30462,0.5,Alexander KOSENKOW,1124.962329,1,9,0
2001,24,10.4,10.28,10.28,0,2,2,29380,1,Alexander KOSENKOW,1124.962329,4,9,0
2002,25,10.51,10.29,10.28,0.0002,2.5,1,31628,0.5,Alexander KOSENKOW,1124.962329,3,9,0
2003,26,10.33666667,10.21,10.14,0.0037,1,1,18440.66667,0.666666667,Alexander KOSENKOW,1124.962329,2,9,0
2004,27,10.31166667,10.24333333,10.18,0.001506667,2.666666667,1,23144.16667,0.833333333,Alexander KOSENKOW,1124.962329,1,9,0
2005,28,10.41,10.28,10.28,0,2,2,29380,1,Alexander KOSENKOW,1124.962329,4,9,0
2009,32,10.225,10.29,10.28,0.0002,2,1,31628,0.5,Alexander KOSENKOW,1124.962329,4,9,0
2010,33,10.425,10.275,10.26,0.00045,1,1,28567,1,Alexander KOSENKOW,1124.962329,3,9,0
2012,35,10.47,10.28,10.28,0,1,1,29380,1,Alexander KOSENKOW,1124.962329,1,9,0
2013,36,10.44666667,10.27333333,10.25,0.000433333,1,1,28231.33333,0.666666667,Alexander KOSENKOW,1124.962329,4,9,0
2014,37,10.44571429,10.26142857,10.2,0.001180952,2.428571429,1,26277.85714,0.571428571,Alexander KOSENKOW,1124.962329,3,9,0
2015,38,10.605,10.23,10.2,0.0018,2,1,20808.5,0,Alexander KOSENKOW,1124.962329,2,9,0
2016,39,10.49333333,10.25,10.22,0.0009,2,1,24019.66667,0.333333333,Alexander KOSENKOW,1124.962329,1,9,0
2017,40,10.7,10.23,10.2,0.0018,3.5,2,20808.5,0,Alexander KOSENKOW,1124.962329,5,9,0
2021,19,10.31,10.27,10.27,0,1,1,27452,1,Ali Anwar Ali AL BALUSHI,1123.596154,1,9,0
1978,26,10.48,10.17,10.07,0.0124,1.333333333,1,15510.66667,0.666666667,Allan WELLS,1137.753126,3,1,1
1979,27,10.25,10.23166667,10.19,0.001096667,2,1,21075,1,Allan WELLS,1137.753126,2,1,1
1980,28,10.318,10.223,10.05,0.007045556,1.2,1,21848.8,0.9,Allan WELLS,1137.753126,1,1,1
1981,29,10.24666667,10.20666667,10.17,0.001633333,1,1,17414.33333,1,Allan WELLS,1137.753126,4,9,0
1982,30,10.61,10.02,10.02,0,1,1,2531,0,Allan WELLS,1137.753126,3,9,0
1983,31,10.18666667,10.21666667,10.15,0.003733333,4,3,19438,0.666666667,Allan WELLS,1137.753126,2,9,0
1984,32,10.29666667,10.23,10.18,0.0039,1,1,21607,1,Allan WELLS,1137.753126,1,9,0
1986,34,10.33666667,10.25333333,10.22,0.001233333,3.666666667,3,24741,1,Allan WELLS,1137.753126,3,9,0
1987,35,10.4,10.28,10.28,0,3,3,29380,1,Allan WELLS,1137.753126,2,9,0
2007,18,10.38,10.265,10.25,0.00045,1,1,26575,0.5,Alonso EDWARD,1139.179104,2,9,0
2009,20,10.32857143,10.15857143,9.97,0.008259341,1.785714286,1,13691.14286,0.5,Alonso EDWARD,1139.179104,4,9,0
2010,21,10.335,10.16,10.08,0.0128,2.5,1,13613.5,0.5,Alonso EDWARD,1139.179104,3,9,0
2013,24,10.27,10.175,10.13,0.00405,2.5,1,13748,1,Alonso EDWARD,1139.179104,4,9,0
2014,25,10.25666667,10.19833333,10.02,0.009016667,4,1,18479,1,Alonso EDWARD,1139.179104,3,9,0
2015,26,10.26,10.29,10.29,0,1,1,31544,1,Alonso EDWARD,1139.179104,2,9,0
2016,27,10.25,10.18,10.18,0,1,1,13525,1,Alonso EDWARD,1139.179104,1,9,0
2017,28,10.51,10,10,0,1,1,1954,0,Alonso EDWARD,1139.179104,5,9,0
2018,29,10.15428571,10.09857143,10.01,0.006247619,1.857142857,1,7717.142857,0.857142857,Alonso EDWARD,1139.179104,4,9,0
2019,30,10.355,10.19,10.09,0.02,3.5,1,18633,0.5,Alonso EDWARD,1139.179104,3,9,0
2020,31,10.58,10.18,10.18,0,3,3,13525,0,Alonso EDWARD,1139.179104,2,9,0
2021,32,10.214,10.174,10.09,0.00308,1.6,1,13748.2,1,Alonso EDWARD,1139.179104,1,9,0
1994,20,10.26,10.13,10.13,0,1,1,8587,1,Alvis WHITTED,1144.561396,3,9,0
1996,22,10.31875,10.17875,10.02,0.009926786,3.428571429,1,16478.75,0.625,Alvis WHITTED,1144.561396,1,9,0
1997,23,10.345,10.22,10.14,0.0128,1,1,21673.5,0.5,Alvis WHITTED,1144.561396,4,9,0
2018,21,10.372,10.174,10.07,0.00943,2,1,15562.4,0.6,Amaury GOLITIN,1138.013621,4,9,0
2019,22,10.35571429,10.22,10.11,0.003766667,2,1,20188.57143,0.571428571,Amaury GOLITIN,1138.013621,3,9,0
2020,23,10.35,10.23666667,10.19,0.001733333,1.333333333,1,21974.66667,1,Amaury GOLITIN,1138.013621,2,9,0
2021,24,10.5,10.24833333,10.2,0.001296667,2,1,23989.16667,0.666666667,Amaury GOLITIN,1138.013621,1,9,0
2003,26,10.62,10.18333333,10.13,0.005733333,1.666666667,1,15473.66667,0,Ambrose EZENWA,1141.238585,2,9,0
2004,27,10.29,10.275,10.25,0.00125,3,2,28823,1,Ambrose EZENWA,1141.238585,1,9,0
2005,28,10.482,10.244,10.21,0.00143,1.75,1,23232.4,0.2,Ambrose EZENWA,1141.238585,4,9,0
2006,29,10.215,10.235,10.18,0.00605,1.5,1,22534.5,0.5,Ambrose EZENWA,1141.238585,3,9,0
2007,30,10.49,10.27,10.26,0.0002,3,2,27485,0.5,Ambrose EZENWA,1141.238585,2,9,0
2012,21,10.445,10.145,10.05,0.0057,1.5,1,11300.75,0.5,Ameer WEBB,1144.561396,1,9,0
2013,22,10.36272727,10.19272727,10.07,0.006901818,2.090909091,1,17518.54545,0.636363636,Ameer WEBB,1144.561396,4,9,0
2015,24,10.29166667,10.12666667,10.04,0.002426667,2.333333333,1,8878.5,0.666666667,Ameer WEBB,1144.561396,2,9,0
2016,25,10.17,10.016,9.9,0.01163,3,1,4096.8,0.6,Ameer WEBB,1144.561396,1,9,0
