Competitor,Rank,Mark,WIND,Nat,Pos,Venue,Date,Results Score,Net Result,AGE,AGE_AT_EVENT,current_match_ranking,match_year
1,6354,10.1,-0.4,1179.629411764706,5,21,29-Aug-19,1174,10.06,30,25,5.0,2019
1,17420,10.21,-0.5,1179.629411764706,1h3,72,8-Apr-18,1138,10.16,30,24,1.0,2018
1,17420,10.21,1.4,1179.629411764706,3,73,2-Jul-18,1135,10.35,30,24,3.0,2018
1,1277,9.97,-0.1,1179.629411764706,1h7,74,19-Aug-23,1217,9.96,30,29,1.0,2023
1,1277,9.97,0,1179.629411764706,1,75,16-Jul-23,1217,9.97,30,29,1.0,2023
1,1277,9.97,0.3,1179.629411764706,1sf1,5,16-Jul-22,1217,10,30,28,1.0,2022
1,3690,10.05,2.4,1179.629411764706,3,58,23-Jun-16,1175,10.29,30,22,3.0,2016
1,607,9.92,1.2,1179.629411764706,1,56,18-Mar-17,1234,10.04,30,23,1.0,2017
1,4132,10.06,2.6,1179.629411764706,1f1,56,14-Mar-15,1171,10.32,30,21,1.0,2015
1,27452,10.27,-0.4,1179.629411764706,1h2,76,27-Jun-15,1117,10.23,30,21,1.0,2015
1,17420,10.21,-0.7,1179.629411764706,8,75,6-Aug-22,1139,10.14,30,28,8.0,2022
1,3236,10.04,0.9,1179.629411764706,2f1,77,19-Jun-18,1193,10.13,30,24,2.0,2018
1,381,9.89,1.9,1179.629411764706,1,73,18-Jul-16,1245,10.08,30,22,1.0,2016
1,8587,10.13,1.9,1179.629411764706,1,56,14-Mar-14,1162,10.32,30,20,1.0,2014
1,8587,10.13,1,1179.629411764706,5f1,69,2-Jun-16,1162,10.23,30,22,5.0,2016
1,8587,10.13,-0.4,1179.629411764706,5,69,31-May-18,1164,10.09,30,24,5.0,2018
1,8587,10.13,-0.7,1179.629411764706,2,78,13-Jun-18,1166,10.06,30,24,2.0,2018
1,1277,9.97,0,1179.629411764706,1,79,9-Jul-15,1217,9.97,30,21,1.0,2015
